40749     	0.0318	0.0000
114337    	0.0711	0.0000
205297    	0.1208	0.0000
376177    	0.2259	0.0000
546946    	0.2916	0.0000
679351    	0.3548	0.0000
810227    	0.4169	0.0000
939735    	0.4784	0.0000
1068319   	0.5398	0.0000
1198484   	0.6013	0.0000
1328050   	0.6627	0.0000
1457747   	0.7237	0.0000
1588769   	0.7843	0.0000
1718207   	0.8453	0.0000
1848761   	0.9063	0.0000
1978606   	0.9673	0.0000
13170064  	6.0265	0.0000
24603752  	11.0501	0.0000
36212854  	16.0773	0.0000
48010160  	21.1398	0.0000
59872586  	26.1959	6.0000
71717954  	31.2168	79.0000
83644967  	36.2475	477.0000
95607658  	41.2664	2256.0000
107717326 	46.3294	8381.0000
119750879 	51.3364	26167.0000
131806371 	56.3413	69728.0000
144029533 	61.3985	168543.0000
156193564 	66.4123	368059.0000
168448178 	71.4488	756037.0000
180706630 	76.4759	1470824.0000
190944857 	80.6670	2492745.0000
196695733 	83.0166	3329611.0000
200739380 	84.6669	4077759.0000
205216667 	86.4880	5103840.0000
208377074 	87.7707	5987314.0000
211340507 	88.9718	6981278.0000
214677063 	90.3016	8347460.0000
217751714 	91.5130	9928770.0000
