8643      	0.0338	1.5481	8913.5
181467    	0.1923	2.5648	166792.8
2320111   	2.4771	3.0706	2113357.6
5799431   	5.5692	4.4044	3414566.0
13289956  	11.9789	7.5253	3405253.7
25031857  	21.6655	12.4233	3380739.9
40937998  	34.2829	19.5021	3362662.8
48932072  	40.4433	20.5252	3344324.3
56917276  	46.5452	20.8154	3348811.2
68765540  	55.5156	21.0556	3304795.1
72624916  	58.4281	21.0465	3266854.1
79641213  	63.6247	20.9574	2809014.4
82763007  	65.9118	21.2241	2629180.2
85553530  	67.9741	20.4907	2410029.7
90616043  	71.6485	20.8419	2094857.8
97492129  	76.0397	21.0821	3324502.3
112336077 	83.8038	20.5150	3356832.0
126827112 	89.6953	20.2205	3343658.6
140990923 	93.8504	20.3348	3318598.1
158087780 	97.0082	19.0340	3314755.8
168199251 	98.1299	18.6942	3334430.5
181518006 	99.0304	18.2212	3322749.7
194780624 	99.5101	17.7434	3318414.7
207924878 	99.7567	17.7016	3316625.9
224304381 	99.8991	17.1782	3345478.3
237303203 	99.9502	16.9998	3343368.0
247157488 	99.9705	17.1662	3321629.5
260178676 	99.9850	17.0138	3312129.1
273268062 	99.9924	16.6976	3309683.1
286339032 	99.9961	16.9045	3314153.8
299501727 	99.9980	16.6886	3349733.4
312552636 	99.9989	16.9443	3305946.4
325655720 	99.9994	16.6434	3319159.4
338701737 	99.9997	16.7408	3325050.6
351784026 	99.9998	16.5095	3345790.0
361619725 	99.9999	16.6606	3328661.7
381130829 	99.9999	16.5976	3332206.8
390933553 	100.0000	16.3250	3305432.0
