15353     	0.0895	0.0000
338491    	0.4092	0.0000
799422    	0.8131	0.0000
1278773   	1.2250	0.0000
1731021   	1.5963	0.0000
2197827   	2.0074	0.0000
2683600   	2.4195	0.0000
3171893   	2.8334	0.0000
3664670   	3.2479	0.0000
4159231   	3.6624	0.0000
4651268   	4.0768	0.0000
5149654   	4.4931	0.0000
5649123   	4.9091	0.0000
6149362   	5.3244	0.0000
6644145   	5.7388	0.0000
7146260   	6.1523	0.0000
7646108   	6.5644	0.0000
8145910   	6.9757	0.0000
8647185   	7.3879	0.0000
9150969   	7.7997	0.0004
9655179   	8.2120	0.0000
10161060  	8.6235	0.0000
10665329  	9.0375	0.0004
11176811  	9.4515	0.0012
11692149  	9.8671	0.0000
12209650  	10.2842	0.0004
12728610  	10.7011	0.0008
13247766  	11.1174	0.0027
13770665  	11.5342	0.0023
14293054  	11.9509	0.0027
14818757  	12.3660	0.0042
15342282  	12.7799	0.0027
15866224  	13.1931	0.0057
16391091  	13.6066	0.0027
16917482  	14.0190	0.0072
17444052  	14.4309	0.0072
17972036  	14.8418	0.0106
18500855  	15.2533	0.0113
19032088  	15.6632	0.0109
19561697  	16.0715	0.0170
20091222  	16.4792	0.0162
20618102  	16.8861	0.0206
21150392  	17.2936	0.0180
21682623  	17.6998	0.0207
22215059  	18.1052	0.0285
22748561  	18.5100	0.0379
23284084  	18.9138	0.0336
23814045  	19.3153	0.0421
24347498  	19.7162	0.0469
24876980  	20.1158	0.0579
25409614  	20.5136	0.0574
25943054  	20.9122	0.0714
26477270  	21.3107	0.0767
27013969  	21.7073	0.0818
27550177  	22.1030	0.0888
28084710  	22.4973	0.0980
28623707  	22.8911	0.1176
29158887  	23.2837	0.1278
29695805  	23.6755	0.1401
30234312  	24.0658	0.1456
30770750  	24.4551	0.1704
31309050  	24.8435	0.1779
31843645  	25.2303	0.2134
32381747  	25.6159	0.2215
32916903  	26.0010	0.2409
33453778  	26.3855	0.2544
33992854  	26.7681	0.2720
34532148  	27.1492	0.3112
35070210  	27.5288	0.3271
35608038  	27.9080	0.3555
36146307  	28.2866	0.3518
36685307  	28.6640	0.4192
37226008  	29.0401	0.4158
37764917  	29.4150	0.4679
38305544  	29.7889	0.4868
38844357  	30.1630	0.5249
39384157  	30.5355	0.5183
39926127  	30.9071	0.5901
40462007  	31.2775	0.6699
41005821  	31.6485	0.6597
41550302  	32.0185	0.7041
42093914  	32.3867	0.7453
42636830  	32.7535	0.8204
43180327  	33.1208	0.8500
43726317  	33.4872	0.8878
44272104  	33.8532	0.9269
44824156  	34.2186	0.9755
45374545  	34.5860	1.0318
45932348  	34.9536	1.0950
46489505  	35.3204	1.1421
47048692  	35.6861	1.1890
47611003  	36.0508	1.2251
48171163  	36.4170	1.3277
48738089  	36.7826	1.3970
49298710  	37.1462	1.4666
49863289  	37.5103	1.5371
50435327  	37.8753	1.5831
51005618  	38.2374	1.6774
51576200  	38.6016	1.7646
52154281  	38.9669	1.8744
52730856  	39.3305	1.9178
53313978  	39.6930	2.0015
53891724  	40.0542	2.0762
54471391  	40.4179	2.1530
55061042  	40.7809	2.1955
55647817  	41.1442	2.3367
56238210  	41.5059	2.4390
56828442  	41.8669	2.5568
57422301  	42.2290	2.6985
58021791  	42.5911	2.7573
58623866  	42.9522	2.9457
59224114  	43.3111	2.9429
